"id","make","model","vin","year","serialNum"
"15472173","Kenworth","T680","1XKYDP9X1LJ346416","2020","87B010140378"
"15472190","Kenworth","T680","1XKYDP9X5GJ110258","2016","87A101770212"
"15472191","Kenworth","T680","1XKYDP9X1GJ468408","2016","87A101770119"
"15472192","Kenworth","T680","1XKYDP9X9HJ468318","2017","87A100200115"
"15472194","Kenworth","T680","1XKYDP9X1HJ468331","2017","87A102900057"
"15472195","Kenworth","T680","1XKYDP9X4HJ468338","2017","87A101770197"
"15472196","Kenworth","T680","1XKYDP9XXNJ144760","2022","87B011100365"
"16440902","Kenworth","T680","1XKYDP9XXHJ468313","2017","87A102380257"
"16440909","Kenworth",,"1XKYDP9X8NJ483386","2022","87A032060196"
"16440910","Kenworth",,"1XKYD49X2PJ233496","2023","87A032060247"
"16440920","Kenworth",,"1XKYDP9X1PJ228372","2023","87A032060131"
"16836354",,,"1XKYDP9X5PJ237009",NULL,"87B012800395"
"16836366","Kenworth","T680","1XKYDP9X4KJ278045","2019","87B030580020"
"16836373","Peterbilt","579","1XPBD49X5RD606208","2024","87A032060085"
"16836383","Kenworth","T6","1XKAD48X0AJ268886","2010","87B031720090"
"16836399",,,"1XKYD49X6PJ236787",NULL,"87B010690900"
"17656906",,,"1XKYD49X0LJ380202",NULL,"87B030330411"
"17656907",,,"1XKYDP9X3FJ384251",NULL,"87B030330396"
"17656908",,,"1XKADP9X7DJ346441",NULL,"87B030330445"
"17656940","Kenworth",,"1XKYDP9X0GJ384502","2016","87B013410728"
"17656951","kenwotrh","t680","1XKYD49X4MJ469580","2021","87B030320207"
"18373753","kenworth","t680","1XKYD49X8MJ469582","2021","87B013410822"
"18373771","Kenworth","T680","1XKYDP9X3NJ102737","2022","88B111810004"
"18373772","Kenworth","T680","1XKYDP9X3NJ102740","2022","87A111440093"
"18373783","Peterbilt","579","1XPBDP9XXLD651136","2020","87B010690599"
"18373788","Kenworth","T680","1XKYDP9X7MJ458736","2021","87A111100166"
"18373789","Kenworth","T680","1XKYDP9X3MJ469507","2021","87A111100153"
"18373790","Kenworth","T680","1XKYDP9X6GJ128302","2016","87B010400017"
"18641961","Kenworth","T680","1XKYDP9X7NJ488997","2022","87A103650037"
"18641962","Kenworth","T680","1XKYDP9X8NJ488989","2022","88B112080194"
"18641963","Kenworth","T680","1XKYDP9X1NJ101991","2022","87B010690380"
"18641967","Kenworth","T680","1XKYDP9X2NJ102437","2022","87B030600426"
"18641968","Kenworth","T680","1XKYDP9X7NJ232214","2022","87B010620462"
"18641969","Peterbilt","579","1XPBD49X3PD863655","2023","87A102600370"
"18641970","Peterbilt","579","1XPBD49X7PD863657","2023","87B011040492"
"18641971","Peterbilt","579","1XPBD49X5PD863656","2023","87B010690747"
"18641972","KW","T680","1XKYDP9X5PJ253307","2023","87B010690795"
"18641975","KW","T680","1XKYDP9X5PJ253310","2023","87B010690749"
"18641976","KW","T680","1XKYDP9X2PJ259811","2023","87B013080317"
"18641977","KW","T680","1XKYDP9X0PJ259810","2023","87A103650022"
"18641978","KW","T680","1XKYDP9X2PJ256200","2023","87A032060014"
"18641979","Kenworth","T680","1XKYD49X0RJ337021","2024","87A103650035"
"18641980","Kenworth","T680","1XKYD49X2RJ337022","2024","88U111340010"
"18641981","Kw","T680","1XKYD49X4RJ349768","2024","88B112080188"
"18641982","KW","T680","1XKYDP9X9RJ349122","2024","87A103650038"
"18641984","KW","T680","1XKYDP9X6KJ226125","2019","87B010690491"
"18641992","KW","T680","1XKYDP9X1LJ361594","2020","87B010400055"
"19931366","PTRB",,"1XPBDP9X5ND707941","2022","87B031720083"
"19931370","Kenworth","T680","1XKYD49X1RJ370254","2024","87A032060266"
"19931371","Peterbilt","Conventional 3","1XP7D49X8AD104738","2010","87A012720188"
"19931373","Kenworth","T680","1XKYDP9X6KJ313216","2019","87B013410991"
"20252102","Peterbilt","579","1XPBDP9X8LD639325","2021","87A013570108"
"20252105",,,"1XKADB8X67J093041","2002","87B112240017"
"20252106",,,"1XP5DB9X12D577863",NULL,"87B013420029"
"20252139","KENWORTH","T680","1XKYD49X9HJ139598","2017","87B031220256"
"21593254",,,"1XKYDP9X3HJ144314",NULL,"87A032060027"
"21593266","KENWORTH","T680","1XKYDP9X8LJ433682","2020","87B030590369"
"21593268","PTRB","TR","1XP7D49X65D838994","2005","4C4000037818"
"21593272","Peterbilt","579","1XPBDP9X5KD601369","2019","87B010970199"
"21593275",,,"1XP7D49X4BD110506",NULL,"87A032490036"
"21593281","KENWORTH","T680","1XKYD49X2LJ354457",NULL,"87A111440033"
"22513107","KENOWORTH","T680","1XKYD49X2RJ356802","2024","87B011040056"
"22513132","Kenworth",,"1XKYD49X4HJ147463","2017","87A032060216"
"22513138",,,"1XKYD49X4PJ236786",NULL,"87A032490027"
"24340797",,,"1XKYDP9X7LJ312528",NULL,"87A032060113"
"24340798",,,"1XKYDP9X1GJ105770",NULL,"87B031220375"
"24621602","KW",,"1XKYDP9X5MJ460775","2021","87B030600182"
"24621618","Peterbilt",,"1XPBDP9X5HD363807","2017","87A032280099"
"25536574",,,"1XKYDP9X9EJ395513",NULL,"87B010620080"
"26325164","Kenworth","T680","1XKYDP9X1NJ137180","2022","87A102380256"
"26325174","Kenworth","T680","1XKYDP9XXNJ148016","2022","87A110820119"
"27334904","PETERBILT",,"1XPBDP9X3LD640429","2020","87A032710226"
"27334906","KW","T600","1XKYDP9X9GJ124695","2016","87A111520093"
"27334916","KWTH",,"1XKWD40X8ER369165","2014","4C4000040162"
"27334933","PETERBILT","579","1XPBD49X5HD355365","2017","87A032490016"
"27334938","PETERBILT","579","1XPBD49X0HD355306","2017","87A032490006"
"27334940","KENWOOD","T600","1XKYD49X4FJ428823","2015","87A032490061"
"27334947",,,"1XPBDP9X4LD674430",NULL,"87B013130049"
"28510002","PTBL",,"1XPBDP9X7ND797299","2022","87B112240037"
"28510005","Peterbilt",,"1XPBD49X5HD392870","2017","87A032060283"
"28510011",,,"1XKYDP9X6NJ473200","2022","88A110740011"
"28510022",,,"1XPBDP9X6KD600795",NULL,"87B112220054"
"29158845",,,"1XKYDP9X4JJ187243",NULL,"87B010130131"
"29158846",,,"1XKYDP9X2JJ187242",NULL,"87B010210009"
"29393766","KW","680","1XKYDP9X8KJ241600","2019","87A032060231"
"29393770","PTBT",,"1XP7DB9X46D640579","2006","87A032490269"
"29393775","KW","T680","1XKYD49X2RJ349770","2024","87A032710284"
"29393794","KENWORTH","T680","1XKYD49X8GJ474981","2016","4C4000038323"
"30449968",,,"1XPBDP9X7JD409742",NULL,"87A031720004"
