"id","make","model","vin","year","serialNum"
"51722459","Kenworth","T680","1XKYD49X8RJ357579","2024","87B031700188"
"51722461","PTRB",,"1XPBDP9X7GD298084","2016","87B010620486"
"51722470",,,"1XKYDP9XXRJ357973",NULL,"87A032490179"
"51722479",,,"1XKYDP9XXHJ152460",NULL,"87A032710004"
"52710264","PTRB",,"1XPBDP9XXLD678367","2020","87A032710030"
"52710268","kw",,"1XKYDP9X7RJ342461","2024","87B010690148"
"52710269","PTRB",,"1XPBDP9X6RD655256","2024","87B010130090"
"52710270","KENWORTH",,"1XKYDP9X1GJ483667","2016","87B013320424"
"52710303","KW","TR","1XKYDP9X3PJ238658","2023","87B030310045"
"53084913","PETERBILT","579","1XPBD49X6PD875444","2023","87B101900073"
"53084915","KW",,"1XKYD49XXEJ398533","2014","87B010280073"
"53519924","KENWORTH","T680","1XKYD49X8RJ343102","2024","87B030590314"
"53519927","KW",,"1XKYD49X3NJ100694","2022","87A032490192"
"53974757",,,"1XKYDP9X8PJ231558",NULL,"87B013320383"
"54048535","PTRB",,"1XPBDP9X8LD687360","2020","87B010310177"
"54048538",,,"1XKYDP9X1HJ138866",NULL,"87B013320373"
"54048541",,,"1XPBDP9X4LD718524",NULL,"87A032710138"
"54048544",,,"1XPBDP9X6GD327994",NULL,"87A032710005"
"55415507","PTRB",,"1XPBDP9X8GD297848","2016","87B010770050"
"55415522","KW",,"1XKYD49X2GJ478332","2016","87B010620149"
"55415524",,,"1XKYDP9X6HJ165755",NULL,"87A032710041"
"55415527","PTRB",,"1XPBDP9X4LD678364","2020","87A032710006"
"56711656","KENWORTH",,"1XKWD49X3GJ485300","2016","4C3000033827"
"56711657","Kenworth",,"1XKYD49X8LJ382523","2020","87B030590437"
"56711658","PTRB",,"1XPBDP9X3GD297935","2016","87B010620413"
"56711660","PTRB",,"1XPBDP9X8LD687438","2020","87B013410802"
"56711661",,,"1XPBDP9X4HD413404",NULL,"87A032710203"
"59090707","KW",,"1XKYDP9X1HJ175187","2017","87A032790025"
"59090711","Kenworth","T680","1XKYDP9X1NJ140760","2022","87B012790168"
"59604466","KW",,"1XKYDP9X3FJ425638","2015","87B013410587"
"59604469","Kenworth",,"1XKYD49X1PJ264237","2023","87A032490115"
"61081461",,,"1XPBDP9XXKD232332",NULL,"87A032790088"
"61081465","PTRB",,"1XPBDP9X7LD687348","2020","87B111940302"
"61081468",,,"1XPBD49X6PD875606",NULL,"87A032790089"
"61632603","Kenworth","t680","1XKYDP9X9HJ145144","2017","87B010690040"
"62040415","kw",,"1XKYDP9X3KJ313030","2019","87A032490195"
"62040418","PETERBILT","579","1XPBDP9X1KD600753","2019","4C4000037564"
"62040419","Kenworth","T680","1XKYDP9X3KJ247112","2019","4C4000038278"
"62040425","Kenworth","T680","1XKYDP9X6HJ135185","2017","87A032280202"
"62463714","KW",,"1XKYDP9X6LJ397913","2020","87A032490156"
"62463719","PET",,"1NPXGGGG10D321293",NULL,"87A032710256"
"62463723","PETERBILT","579","1XPBDP9X0RD679407","2024","87A032280283"
