id,make,model,vin,year,serialNum
1023087885,PETERBILT,579,1XPBDP9X0GD352762,2016,87B010400201
1023087887,KENWORTH,T680,1XKYD79X4LJ371200,1990,4C4000036658
1025571401,KENWORTH,T680,1XKYDP9X2LJ370661,2020,87A013610101
1035250229,KENWORTH,T680,1XKYD49X9HJ134403,2017,87B031700181
1038966085,KENWORTH,T680,1XKYDP9X5LJ370654,2020,87A013610186
1042296635,KENWORTH,T680,1XKYDP9X6LJ348260,2020,87B013270118
1042296649,KENWORTH,T680,1XKYD49X6LJ347348,2020,87B010390215
892187141,PETERBILT,579,1XPBDP9X4GD298012,2016,4C4000036564
599499527,KENWORTH,T680,1XKYD49X1KJ247267,2019,87B013410914
527740954,KENWORTH,T680,1XKYD49X6PJ233324,2023,87U111270012
989095276,KENWORTH,T680,1XKYDP9X1RJ321363,2024,87B031720002
989095295,KENWORTH,T680,1XKYDP9XXRJ321362,2024,87U111250044
478820636,KENWORTH,T680,1XKYDP9X7PJ237299,2023,87B010130106
432541409,KENWORTH,T680,1XKYD49X2LJ357441,2020,87B010690710
488479038,KENWORTH,T680,1XKYDP9X2PJ237016,2023,87A101770033
450493564,KENWORTH,T680,1XKYDP9XXGJ113785,2016,87U111270028
525988296,KENWORTH,T680,1XKYD49X8P1233308,2023,87U111270046
536861731,KENWORTH,T680,1XKYD49X7PJ268728,2023,87U111270006
625546141,KENWORTH,T680,1XKYDP9X6RJ321293,2024,87U111270019
815113179,KENWORTH,T680,1XKYDP9X8MJ469521,2021,87B030590373
39356467,KENWORTH,T680,1XKYDP9X4GJ444569,2016,87B010210245
45752221,KENWORTH,T680,1XKYDP9XXHJ138820,2017,88A102730109
52314749,KENWORTH,T680,1XKYDP9X3HJ138917,2017,87A110620017
95866552,KENWORTH,T680,1XKYDP9X1HJ131920,2017,87A102380189
127049452,KENWORTH,T680,1XKYDP9X3JJ192353,2018,88A110740054
146236777,KENWORTH,T680,1XKYD49X6NJ482123,2022,88A110980180
183647434,KENWORTH,T680,1XKYD49X5KJ250818,2019,87A102380013
190846940,KENWORTH,T680,1XKYDP9X5LJ404334,2020,87A110820124
208376606,KENWORTH,T680,1XKYD49X2KJ220093,2019,87A111100194
214825352,KENWORTH,T680,1XKYD49X7HJ167755,2017,87U111250063
220134464,KENWORTH,T6 Series,1XKADP9X4DJ360328,2013,87U111250068
221856813,KENWORTH,T680,1XKYDP9X4HJ156990,2017,87U111250019
230803360,KENWORTH,T680,1XKYDP9X3HJ145155,2017,87U111250006
246645294,KENWORTH,T680,1XKYD49X4JJ184907,2018,87A102900033
266045165,KENWORTH,T680,1XKYD49X3NJ491782,2022,87A111100186
297598194,KENWORTH,T680,1XKYD49X4NJ480211,2022,87A111520004
308269867,KENWORTH,T680,1XKYDP9X7NJ480723,2022,87B101900097
310930241,KENWORTH,T680,1XKYD49X0FJ461902,2015,87U111270041
314463555,KENWORTH,T680,1XKYDP9X3GJ466319,2016,87A102380107
315549361,KENWORTH,T680,1XKYD49X8EJ405673,2014,88B111930253
322258720,KENWORTH,T680,1XKYD49X4NJ476515,2022,87A111590005
325645296,KENWORTH,T680,1XKYDP9X0JJ189538,2018,88A110120095
341323506,KENWORTH,T680,1XKYD49X8EJ398532,2014,87B112220131
342643401,KENWORTH,T680,1XKYDP9X0JJ198403,2018,87B112170049
344791266,KENWORTH,T2 Series,1XKTDU9X86J126011,2006,87B012790200
349134896,KENWORTH,T680,1XKYDP9X3JJ217722,2018,87B012790138
352198246,KENWORTH,T680,1XKYD49X9JJ211163,2018,88A103170686
353017831,KENWORTH,T680,1XKYD49X4JJ196393,2018,87A013570147
353018252,KENWORTH,T680,1XKYD49X5JJ196404,2018,87A013570233
353018536,KENWORTH,T680,1XKYD49X4JJ196409,2018,87A013570140
353413716,KENWORTH,T680,1XKYDP9X4HJ138814,2017,87B013270111
355915966,KENWORTH,T680,1XKYDP9X7JJ192369,2018,88B111870216
356510895,KENWORTH,T680,1XKYD49X4MJ456571,2021,87A100910035
364175772,KENWORTH,T680,1XKYDP9X2HJ474302,2017,87B030580114
364737038,KENWORTH,T680,1XKYDP9X3HJ134723,2017,87A013490065
365910416,KENWORTH,T800,1XKDDB9X85J080994,2005,87B010280053
366267605,KENWORTH,T680,1XKYD49X8MJ456573,2021,87B031720024
368179267,KENWORTH,T680,1XKYDP9X6PJ216458,2023,87B010210140
369630659,KENWORTH,T6 Series,1XKAD49X0EJ320389,2014,87B010210098
371521174,KENWORTH,T680,1XKYDP9X9PJ236977,2023,87B010280036
372229923,KENWORTH,T680,1XKYDP9X9PJ236980,2023,87B010280035
375904959,KENWORTH,T680,1XKYAP9X1FJ446366,2015,87B010620234
377789900,KENWORTH,T680,1XKYD49X5EJ398536,2014,87A013570220
377800950,KENWORTH,T680,1XKYDP9X1HJ166800,2017,87B010690383
380166196,KENWORTH,T2 Series,1XKTDB9X06J130770,2006,87A013630003
380730122,KENWORTH,T680,1XKYDP9X7JJ198575,2018,87B010210050
380731753,KENWORTH,T680,1XKYDP9X6HJ166839,2017,87U111250073
381087682,KENWORTH,T680,1XKYD49X0LJ403414,2020,87B112240189
391216668,KENWORTH,T680,1XKYDP9X1PJ237279,2023,87B010690834
391440504,KENWORTH,T680,1XKYDP9X0LJ381013,2020,87B112170058
394443050,KENWORTH,T680,1XKYDP9X5HJ145805,2017,87B010690707
396286217,KENWORTH,T680,1XKYD49X2JJ196263,2018,87B010770051
396650595,KENWORTH,T6 Series,1XKAD49X69J244862,2009,87B010770036
401181402,KENWORTH,T680,1XKYDP9X8PJ237280,2023,87B010690878
405040177,KENWORTH,T680,1XKYDP9X5PJ236989,2023,87A102380172
406835429,KENWORTH,T6 Series,1XKADP9X0DJ343901,2013,87A110820075
407057972,KENWORTH,T680,1XKYDP9X8LJ421743,2020,87B010690791
418071084,KENWORTH,T680,1XKYDP9X3PJ236991,2023,87B011100168
419324607,KENWORTH,T680,1XKYDP9X3PJ237283,2023,87B011040134
421602755,KENWORTH,T680,1XKYDP9XXMJ460769,2021,87A032060093
423498015,KENWORTH,T680,1XKYDP9X8PJ236999,2023,87B011040263
424085518,KENWORTH,T680,1XKYDP9X1PJ237282,2023,87B031510004
424086349,KENWORTH,T680,1XKYDP9X7PJ237285,2023,87B030580117
424614793,KENWORTH,T680,1XKYDP9X6PJ236998,2023,87B031220385
426402515,KENWORTH,T680,1XKYDP9X9PJ237000,2023,87B011040096
426997560,KENWORTH,T680,1XKYD49X4HJ172153,2017,87B010690884
427000773,KENWORTH,T680,1XKYDP9X0PJ237287,2023,87A032280145
427652815,KENWORTH,T680,1XKYDP9X7JJ222955,2018,87B011040219
430488360,KENWORTH,T680,1XKYDP9X5PJ237284,2023,87B011100120
430707211,KENWORTH,T680,1XKYDP9X2PJ236996,2023,87A111590034
436339644,KENWORTH,T680,1XKYDP9X2PJ237288,2023,87B030580137
439874114,KENWORTH,T680,1XKYDP9X2HJ474297,2017,87B011040415
449201359,KENWORTH,T680,1XKYDP9X2PJ237002,2023,87B011100130
449675964,KENWORTH,T680,1XKYDP9X6PJ237004,2023,87B012790184
449872425,KENWORTH,T680,1XKYDP9X4PJ237003,2023,87B011100217
452406337,KENWORTH,T680,1XKYDP9XXPJ237006,2023,87B013410578
452422354,KENWORTH,T680,1XKYDP9X7PJ236993,2023,87B010390521
457147980,KENWORTH,T680,1XKYD49X6NJ162350,2022,87B010390170
462598590,KENWORTH,T680,1XKYDP9X5HJ135985,2017,87U111250086
462599661,KENWORTH,T680,1XKYDP9X6JJ211736,2018,87B012810035
464112871,KENWORTH,T680,1XKYDP9X9PJ237286,2023,87A013610073
473304535,KENWORTH,T680,1XKYDP9X1PJ237296,2023,88A110620186
474153913,KENWORTH,T680,1XKYDP9X3JJ211743,2018,87U111250037
474961743,KENWORTH,T6 Series,1XKAD48X86J148065,2006,87B112170061
477896183,KENWORTH,T680,1XKYDP9X3PJ237297,2023,87B010210223
478825855,KENWORTH,T680,1XKYDP9X1PJ237010,2023,87B010690758
479866781,KENWORTH,T680,1XKYDP9X5PJ237298,2023,87B010690776
479999438,KENWORTH,T680,1XKYDP9X1PJ251604,2023,87B010310125
480170428,KENWORTH,T680,1XKYDP9X3PJ251605,2023,87B010690227
482101924,KENWORTH,T680,1XKYDP9X0NJ492924,2022,87B010690218
482612220,KENWORTH,T6 Series,1XKAD49XXBJ280396,2011,87B010690358
482790347,KENWORTH,T680,1XKYDP9X5HJ474309,2017,87B013080608
486576041,KENWORTH,T7 Series,1XKFDP9X5CJ318304,2012,87B010620615
488483149,KENWORTH,T680,1XKYDP9X4PJ237017,2023,88A110620187
488486475,KENWORTH,T680,1XKYDP9X6PJ237018,2023,87B012790199
488487152,KENWORTH,T680,1XKYDP9X4PJ237292,2023,87B031220373
488488183,KENWORTH,T680,1XKYDP9X1PJ237301,2023,87A102380262
488803081,KENWORTH,T680,1XKYDP9X2FJ444360,2015,87B010690244
493882566,KENWORTH,T2000,1XKTD49XX2J889268,2002,87B010690290
494634158,KENWORTH,T680,1XKYDP9X4GJ102569,2016,87B010120034
499458910,KENWORTH,T680,1XKYDP9X9HJ145144,2017,87B010690040
503115413,KENWORTH,T2000,1XKTD69X51J864269,2001,87B013080289
509755949,KENWORTH,T680,1XKYDP9X6JJ168113,2018,87B013080218
510203937,KENWORTH,T680,1XKYD49X8LJ357492,2020,87B010120065
510759026,KENWORTH,T680,1XKYD49X6PJ259356,2023,87B013080055
514185907,KENWORTH,T680,1XKYDP9X0KJ241428,2019,87B013080092
514187902,KENWORTH,T680,1XKYDP9X4HJ145956,2017,87B010400015
515234079,KENWORTH,T680,1XKYDP9X1KJ241437,2019,87B013080096
516530723,KENWORTH,T680,1XKYDP9X4FJ422957,2015,87B010400187
526005860,KENWORTH,T680,1XKYDP9XXHJ163121,2017,87U111250079
526006370,KENWORTH,T680,1XKYDP9X2HJ163114,2017,87B012790040
527585747,KENWORTH,T680,1XKYD49X3PJ264238,2023,87B013320083
530415637,KENWORTH,T680,1XKYD49X8PJ259357,2023,87B013080049
532787746,KENWORTH,T680,1XKYDP9X0FJ436595,2015,87B013080030
533594446,KENWORTH,T680,1XKYD49X2KJ236990,2019,87B010620110
533819766,KENWORTH,T680,1XKYDP9X8FJ435159,2015,87B013150139
534481828,KENWORTH,T680,1XKYDP9X6HJ134747,2017,87B013320071
536853641,KENWORTH,T680,1XKYD49X5PJ233315,2023,87B013080386
537421384,KENWORTH,W9 Series,1XKWD49X5PR235266,2023,87A103510014
539050454,KENWORTH,T680,1XKYDP9X9LJ310490,2020,87B013080042
542128330,KENWORTH,T680,1XKYD49X4PJ233306,2023,87B013080404
550329005,KENWORTH,T680,1XKYDP9X5HJ474293,2017,87B112170011
553779991,KENWORTH,T680,1XKYD49X3JJ185014,2018,87B013080624
553780666,KENWORTH,T680,1XKYD49X4JJ185118,2018,87B013080639
553872700,KENWORTH,T680,1XKYD49X1JJ185013,2018,87B013080616
559764196,KENWORTH,T680,1XKYD49X0JJ184953,2018,87B013080180
559764693,KENWORTH,T680,1XKYD49X1JJ185044,2018,87B013080629
562945739,KENWORTH,T6 Series,1XKAD49X0AJ276629,2010,87B013410602
565539817,KENWORTH,T6 Series,1XKAD49X8EJ319975,2014,87B013410745
568472456,KENWORTH,T600,1XKAD69XXTJ686286,1996,87B013410742
580077737,KENWORTH,T680,1XKYDP9X2FJ422942,2015,87B010210202
580761639,KENWORTH,T680,1XKYD49X9FJ428431,2015,87B030310113
580819703,KENWORTH,T680,1XKYD49XXKJ236705,2019,87B031510138
585521584,KENWORTH,T680,1XKYDP9X0KJ257368,2019,88A110620151
586785682,KENWORTH,T680,1XKYDP9X1GJ464763,2016,87B030320194
594485171,KENWORTH,T680,1XKYDP9XXPJ237300,2023,88A102730140
601898204,KENWORTH,T680,1XKYD49X4FJ467394,2015,87B013080058
605947080,KENWORTH,T680,1XKYDP9X6JJ209548,2018,87B012810003
606213091,KENWORTH,T680,1XKYDP9X9JJ209561,2018,87U111250093
608169836,KENWORTH,T680,1XKYDP9X9LJ433688,2020,87B013410775
619933857,KENWORTH,T680,1XKYD49XXHJ147323,2017,87B030580166
627668639,KENWORTH,W900,1XKWDB9X35J070222,2005,87B013080320
633521435,KENWORTH,T680,1XKYDP9X4EJ407681,2014,87B013410840
634746081,KENWORTH,T680,1XKYD49X7JJ185050,2018,87B030330265
634746085,KENWORTH,T680,1XKYDP9X3MJ463173,2021,87B030580161
634746110,KENWORTH,T680,1XKYDP9X0GJ122222,2016,87B013410521
646104103,KENWORTH,T8 Series,1XKDDP9X4EJ388791,2014,87B030600486
651363075,KENWORTH,T680,1XKYD49X6HJ152910,2017,87B030590233
659690457,KENWORTH,T680,1XKYDP9X2MJ449880,2021,87A013570047
673593284,KENWORTH,T680,1XKYDP9X4LJ312308,2020,87B030600202
678789603,KENWORTH,T680,1XKYDP9X4KJ252285,2019,4C3000034531
